[-6.24105145 -4.08436361]	[0.1762752  0.02013231]	[0.50147493]
[-6.27008591 -4.11180512]
[-6.35058529 -4.1100745 ]
[-6.25909858 -4.04686457]
[-6.48167113 -4.11851038]
[-6.22225349 -4.09941832]
[-5.89811223 -4.09551389]
[-6.21563116 -4.08172122]
[-6.14119469 -4.07891193]
[-6.29866665 -4.10718939]
[-6.01489268 -4.09085408]
[-6.22369727 -4.10628993]
[-6.56177848 -4.06062205]
[-6.45265176 -4.08644007]
[-6.16169445 -4.08696605]
[-6.11499843 -4.08563571]
[-6.02897968 -4.06246248]
[-6.30992038 -4.09521363]
[-6.27548838 -4.11718629]
[-6.13422918 -4.08627809]
[-6.64905138 -4.1068854 ]
[-5.84481237 -4.05941552]
[-6.02986786 -4.06253737]
[-6.10340196 -4.07758319]
[-6.19251591 -4.06423332]
[-6.37309091 -4.08057127]
[-6.31976733 -4.10046696]
[-6.43389741 -4.09399181]
[-6.12654407 -4.09739121]
[-6.36924684 -4.10450382]
[-6.14134188 -4.0710936 ]
[-6.43709169 -4.09161268]
[-5.85672034 -4.06796557]
[-6.26747675 -4.08653156]
[-6.34465908 -4.08645239]
[-6.29883724 -4.06767695]
[-6.12552694 -4.05473531]
[-6.04478091 -4.06113459]
[-6.62310822 -4.09653488]
[-6.16492778 -4.06064969]
[-6.1309707  -4.07724447]
[-6.11052356 -4.06017334]
[-5.83368962 -4.09250954]
[-6.56892408 -4.1029826 ]
[-6.13611638 -4.09419898]
[-6.14101049 -4.07548496]
[-6.46699794 -4.12213821]
[-6.1124195  -4.02976121]
[-6.19751854 -4.07514476]
[-6.13282078 -4.0748951 ]
[-6.39663173 -4.06447942]
[-6.10750288 -4.0932675 ]
[-6.1837819  -4.09490956]
[-6.10171627 -4.06851628]
[-6.18305651 -4.08206556]
[-5.94692683 -4.05609755]
[-6.03520923 -4.08900093]
[-6.17845968 -4.05816996]
[-6.45908049 -4.11320733]
[-5.88148515 -4.06020416]
[-6.16907524 -4.08784265]
[-6.32441539 -4.06603501]
[-6.42599373 -4.10956416]
[-6.07647964 -4.08609337]
[-6.43158635 -4.10352346]
[-6.14784804 -4.1119654 ]
[-5.93896679 -4.07560832]
[-6.33132474 -4.06188926]
[-6.02781406 -4.07283146]
[-6.40236313 -4.07499382]
[-6.56164589 -4.08474352]
[-6.45490852 -4.13594165]
[-6.20657236 -4.10041054]
[-6.27595228 -4.0728429 ]
[-6.39593534 -4.09351769]
[-6.11648317 -4.05387239]
[-6.28888177 -4.09938497]
[-6.4047196  -4.08959637]
[-6.45058117 -4.0657185 ]
[-5.9780914  -4.07218348]
[-6.39515097 -4.11573997]
[-6.40017306 -4.08184422]
[-6.32168098 -4.06093575]
[-6.12046259 -4.06368886]
[-6.21911742 -4.0571018 ]
[-6.14023611 -4.07651209]
[-6.15712819 -4.08843636]
[-6.26552383 -4.10292203]
[-6.13788429 -4.0963018 ]
[-6.63156374 -4.08645055]
[-6.23143778 -4.09639419]
[-6.06633502 -4.06654763]
[-6.29746372 -4.12838873]
[-6.05791302 -4.07948562]
[-6.0829841  -4.09471187]
[-6.06810064 -4.07449487]
[-6.19243694 -4.11524603]
[-6.07920935 -4.08839671]
[-5.98171168 -4.04085592]
[-6.10429703 -4.07457149]
[-5.988605   -4.08894809]
[-6.2489973 -4.0781517]
[-6.05007719 -4.06711926]
[-6.32007858 -4.09333999]
[-6.09093627 -4.0830738 ]
[-6.32291006 -4.09612758]
[-6.05213613 -4.06963192]
[-6.295117  -4.0884683]
[-5.87229995 -4.04040559]
[-6.12939421 -4.10734656]
[-6.41917109 -4.1197728 ]
[-6.02469836 -4.10344102]
[-6.26068833 -4.0888292 ]
[-6.26277242 -4.05420173]
[-6.05331418 -4.06491401]
[-6.13471957 -4.05685953]
[-6.16581439 -4.09125528]
[-5.82282094 -4.06794683]
[-6.26434779 -4.08137837]
[-6.21978748 -4.05501732]
[-6.34672263 -4.10231637]
[-6.46189895 -4.05450351]
[-6.09464996 -4.07462904]
[-5.95392932 -4.05808007]
[-6.44927998 -4.10235991]
[-6.52325703 -4.09585849]
[-5.86720159 -4.05139918]
[-6.02817011 -4.08750579]
[-6.43124858 -4.09326831]
[-6.21069045 -4.08223346]
[-6.32892963 -4.07137229]
[-6.34515259 -4.08907857]
[-6.27431146 -4.10570747]
[-6.40405512 -4.09223581]
[-6.34794132 -4.10375336]
[-6.24939411 -4.06709239]
[-6.3218692  -4.09921542]
[-5.91883637 -4.07068237]
[-6.34096056 -4.09905578]
[-6.30531107 -4.05225962]
[-6.2183449  -4.08646549]
[-6.30826753 -4.09243437]
[-6.04317844 -4.05893661]
[-6.00631004 -4.0442065 ]
[-6.71455328 -4.12307716]
[-6.27755742 -4.09671795]
[-5.83720521 -4.03055189]
[-6.2686824  -4.10481941]
[-6.59511597 -4.14173988]
[-6.07042868 -4.10698383]
[-6.17268286 -4.07066764]
[-6.56683488 -4.12299675]
[-6.23959331 -4.06639599]
[-6.14956948 -4.07771775]
[-6.21608817 -4.08255371]
[-6.0919525  -4.05724862]
[-6.04041499 -4.10840287]
[-6.1077723 -4.0795323]
[-6.48765292 -4.08515091]
[-6.20948676 -4.06150788]
[-6.14030974 -4.07047286]
[-6.04166034 -4.11370414]
[-6.22830632 -4.08014738]
[-6.46036953 -4.05805942]
[-6.65709682 -4.08851312]
[-6.26077741 -4.08672111]
[-6.28289567 -4.10462511]
[-6.29077164 -4.09249175]
[-6.5055363  -4.07050077]
[-6.51455606 -4.08414274]
[-6.26486449 -4.06399089]
[-6.45658573 -4.11321073]
[-6.34012069 -4.1009579 ]
[-6.20448176 -4.11191483]
[-6.3626753  -4.10991833]
[-6.18483857 -4.11213064]
[-6.06876664 -4.06311273]
[-5.6575218  -4.01463017]
[-6.19800901 -4.07331629]
[-5.98007975 -4.08733811]
[-6.27998742 -4.11965918]
[-6.30524627 -4.07183402]
[-6.11047545 -4.07436039]
[-6.30880596 -4.08958134]
[-6.15267408 -4.07633456]
[-6.25485236 -4.11015034]
[-6.34528429 -4.1060056 ]
[-6.30330711 -4.09117306]
[-6.29658484 -4.09963365]
[-6.57563559 -4.11248398]
[-5.83521187 -4.07944752]
[-6.07296064 -4.06965531]
[-6.27208773 -4.11505775]
[-6.28630402 -4.09308646]
[-6.37972093 -4.10147593]
[-6.31516547 -4.08500135]
[-6.50624523 -4.06380668]
[-6.08464172 -4.08239626]
[-6.27702693 -4.07624628]
[-6.09563291 -4.08529457]
[-6.29597657 -4.07930925]
[-5.76673675 -4.04213925]
[-6.04488642 -4.05178361]
[-6.37266362 -4.11004949]
[-6.25938037 -4.09483923]
[-6.47171667 -4.06562895]
[-6.26217186 -4.0910823 ]
[-6.49347197 -4.1133505 ]
[-6.14504245 -4.11780178]
[-6.1184684  -4.07063269]
[-6.429739  -4.0721561]
[-6.25944406 -4.07596977]
[-6.03242574 -4.06380511]
[-6.52831736 -4.12265777]
[-6.30517577 -4.04588156]
[-6.03431963 -4.05688653]
[-5.90890705 -4.06085383]
[-6.11838961 -4.09290587]
[-6.18794835 -4.07804931]
[-6.26195721 -4.09667003]
[-6.31858098 -4.09511584]
[-6.33337636 -4.11349307]
[-6.20094191 -4.05445178]
[-6.64563556 -4.12760036]
[-5.99365431 -4.09193106]
[-6.07500393 -4.09871586]
[-6.55516361 -4.1021172 ]
[-6.28273585 -4.10064939]
[-6.23867941 -4.08122266]
[-5.93982591 -4.06310166]
[-6.13524077 -4.0725621 ]
[-6.01995492 -4.08369996]
[-6.49173167 -4.11531586]
[-6.6348487  -4.11014869]
[-6.26306769 -4.08645887]
[-6.42111474 -4.11248985]
[-6.77126028 -4.12758761]
[-6.16157792 -4.05247196]
[-5.89761888 -4.05479621]
[-6.0422384  -4.07621242]
[-6.25076729 -4.08031063]
[-6.26007665 -4.06421945]
[-6.52160007 -4.1175456 ]
[-6.34161643 -4.09500287]
[-6.23698689 -4.09325758]
[-6.19330099 -4.0681257 ]
[-6.64207581 -4.12529022]
[-6.31565284 -4.07944983]
[-6.30475197 -4.08132598]
[-6.05403289 -4.07443942]
[-6.04708989 -4.0672554 ]
[-6.06436455 -4.07789538]
[-6.14679894 -4.08137956]
[-6.317879   -4.05987025]
[-6.06814951 -4.10744513]
[-6.25304633 -4.07752438]
[-6.29781606 -4.0787203 ]
[-5.89521205 -4.06847398]
[-6.24427218 -4.06756185]
[-6.35593423 -4.1248039 ]
[-6.23238543 -4.10675959]
[-6.35209003 -4.12347649]
[-6.14588269 -4.09638794]
[-6.25748477 -4.09338116]
[-6.38479739 -4.08048998]
[-6.20606029 -4.09603152]
[-6.472145   -4.10115693]
[-6.23119101 -4.10076803]
[-6.15889907 -4.08250118]
[-6.26767376 -4.08087116]
[-6.56677061 -4.10653017]
[-6.1805018  -4.06427493]
[-6.11888217 -4.06971078]
[-6.27442341 -4.08405155]
[-6.24313562 -4.05367641]
[-5.84088549 -4.06933365]
[-6.55324472 -4.12139847]
[-6.31847445 -4.06632021]
[-6.32429355 -4.08399735]
[-6.23736492 -4.0705952 ]
[-6.14850931 -4.07937777]
[-6.65701879 -4.10259829]
[-6.43527568 -4.09463101]
[-6.18817372 -4.08903509]
[-6.04485647 -4.09892437]
[-6.13014326 -4.05902046]
[-6.27299672 -4.11556127]
[-6.07937678 -4.08031594]
[-6.31051805 -4.08628144]
[-6.18251331 -4.08930159]
[-6.20736763 -4.08737057]
[-6.46391452 -4.12334415]
[-6.12957858 -4.04948166]
[-6.44882787 -4.08820161]
[-6.17493851 -4.04319458]
[-6.17978452 -4.08257691]
[-6.20501199 -4.05687538]
[-6.29721909 -4.05802941]
[-6.40225563 -4.08860324]
[-5.92151613 -4.07753133]
[-6.56047499 -4.12634276]
[-5.73084143 -4.05535394]
[-6.39671013 -4.05414694]
[-6.09915215 -4.09492239]
[-6.46399668 -4.12374117]
[-6.01814694 -4.08988334]
[-6.25872461 -4.10189408]
[-6.1891064 -4.0883414]
[-6.35076821 -4.0773322 ]
[-6.39504616 -4.09514101]
[-6.14507431 -4.0985778 ]
[-6.41428261 -4.12486552]
[-6.30166844 -4.0720307 ]
[-6.20682399 -4.08296407]
[-6.31934511 -4.07575172]
[-6.14245325 -4.06983181]
[-6.04308388 -4.07243213]
[-6.41665872 -4.12073226]
[-6.11032663 -4.08893848]
[-6.3633031  -4.08444519]
[-6.18322118 -4.09983949]
[-6.27672261 -4.08080489]
[-6.09818448 -4.09939119]
[-6.47502066 -4.10057002]
[-6.3215471  -4.10942199]
[-6.39906308 -4.06521833]
[-6.42508135 -4.07903648]
[-5.92016087 -4.06781155]
[-6.09443543 -4.09770012]
[-6.11200475 -4.09027976]
[-6.24720628 -4.08052018]
[-6.18921828 -4.08779542]
[-6.06982686 -4.07524829]
[-6.19948443 -4.12191628]
[-6.2877813  -4.13573427]
[-6.21281102 -4.11376886]
[-6.48580967 -4.1035862 ]
[-6.36564266 -4.09407603]
[-6.12472368 -4.06548044]
[-6.41776665 -4.08682619]
[-6.54100024 -4.08158361]
[-6.12555478 -4.11139813]
[-6.40327667 -4.0912862 ]
[-6.36803042 -4.08665577]
[-6.41696049 -4.10043018]
[-6.04598722 -4.08119574]
[-6.0953612  -4.09703637]
[-6.07667754 -4.05752308]
[-6.27604274 -4.09164519]
[-6.10586277 -4.08305272]
[-6.2811912  -4.10069319]
[-6.41388465 -4.09299845]
[-5.93445632 -4.07498003]
[-6.20086755 -4.11466826]
[-6.2524969  -4.09225571]
[-5.94655834 -4.09105165]
[-6.17407576 -4.10323994]
[-6.4081757  -4.06585838]
[-6.45219805 -4.07836083]
[-6.04986713 -4.06063369]
[-5.86532444 -4.06816985]
[-6.11610578 -4.07529445]
[-6.06170834 -4.07112621]
[-6.41856362 -4.11688442]
[-6.27329088 -4.06542514]
[-5.91064251 -4.06168591]
[-6.27423132 -4.07448987]
[-6.12428265 -4.0885725 ]
[-6.49810248 -4.12555734]
[-6.16600812 -4.08953867]
[-5.89769516 -4.03949557]
[-6.59830295 -4.09373067]
[-6.24577278 -4.09716338]
[-6.19387979 -4.08826455]
[-6.3009337  -4.06498935]
[-6.01153801 -4.05577711]
[-6.20862504 -4.07940944]
[-6.24729753 -4.07384145]
[-6.50153308 -4.10861169]
[-6.43921841 -4.07235319]
[-6.18421538 -4.08247202]
[-6.04715624 -4.0535906 ]
[-6.36067475 -4.10543683]
[-6.02372531 -4.08590418]
[-6.36481099 -4.08881088]
[-6.1020071  -4.08375226]
[-6.02946421 -4.06628968]
[-6.33351883 -4.09352272]
[-6.39065238 -4.08581898]
[-6.20183445 -4.07954652]
[-6.20588869 -4.0726244 ]
[-6.25555077 -4.08184751]
[-6.10258616 -4.06845461]
[-6.562945   -4.09564348]
[-6.26382624 -4.08551613]
[-6.34080236 -4.08323915]
[-6.17287856 -4.09572657]
[-6.40664073 -4.1123627 ]
[-6.2899915  -4.08342119]
[-6.07439473 -4.07965161]
[-6.27027797 -4.09882481]
[-6.1922496  -4.11718321]
[-6.25005174 -4.08379713]
[-6.33607778 -4.08869973]
[-6.40452563 -4.09705249]
[-6.28573368 -4.0963024 ]
[-6.47475623 -4.10243835]
[-6.17024249 -4.08178459]
[-6.36113787 -4.08369031]
[-6.0931744  -4.04733354]
[-6.08714632 -4.09162335]
[-6.38613002 -4.06597217]
[-6.35779057 -4.0996857 ]
[-6.58748599 -4.09948366]
[-6.19797983 -4.08494859]
[-5.95908877 -4.01352885]
[-6.26967228 -4.06949475]
[-6.10961698 -4.05101675]
[-6.21780262 -4.10742046]
[-6.27542853 -4.10826464]
[-6.44617251 -4.07763775]
[-6.6662469  -4.13887103]
[-6.28574946 -4.07604263]
[-6.25393376 -4.0826543 ]
[-6.26156896 -4.06231687]
[-6.27809953 -4.11614376]
[-5.81604541 -4.0948228 ]
[-6.3431926 -4.071453 ]
[-6.11795743 -4.06342498]
[-6.55621863 -4.13039993]
[-6.2535145  -4.08765305]
[-6.27334923 -4.08605435]
[-6.16415401 -4.06740089]
[-6.26170545 -4.11672846]
[-6.25398672 -4.08474061]
[-6.57916271 -4.11285145]
[-6.5937906  -4.13966841]
[-6.09554249 -4.096036  ]
[-6.2883735  -4.07807051]
[-6.03272683 -4.07375973]
[-6.36250633 -4.07191329]
[-6.18870001 -4.08031458]
[-6.4078291  -4.08127286]
[-6.1174129  -4.06749135]
[-5.98086131 -4.08898091]
[-6.28754303 -4.09209023]
[-6.03452975 -4.07184252]
[-5.90923074 -4.07679929]
[-6.14641856 -4.07634696]
[-6.19023817 -4.08420537]
[-6.21424467 -4.04431438]
[-6.21070883 -4.06913626]
[-6.12150702 -4.0688567 ]
[-5.97132401 -4.08075488]
[-6.26913713 -4.04043516]
[-5.97784089 -4.08863515]
[-6.34532839 -4.08160987]
[-6.19521298 -4.0711517 ]
[-6.22565205 -4.08863637]
[-6.17847874 -4.11680045]
[-6.14566943 -4.07744687]
[-6.13018025 -4.08601637]
[-6.25323452 -4.11362326]
[-6.11842775 -4.09826952]
[-6.02555009 -4.06594241]
[-6.57418332 -4.09767915]
[-6.17678249 -4.06462978]
[-6.18233049 -4.08784057]
[-6.03326852 -4.06990484]
[-6.05113188 -4.07503045]
[-6.66785583 -4.12252429]
[-6.3339733  -4.09825658]
[-6.20971314 -4.0872385 ]
[-6.3375693 -4.0965195]
[-5.95437991 -4.03809199]
[-6.19159923 -4.08129465]
[-6.45380361 -4.09521078]
[-6.23701486 -4.08444159]
[-6.20713708 -4.07664938]
[-6.22421124 -4.06278009]
[-6.16228689 -4.09867451]
[-6.11689483 -4.09090635]
[-6.3149452  -4.09168409]
[-6.39059484 -4.11106782]
[-6.35683111 -4.07838668]
[-6.20283451 -4.08999958]
[-6.35764885 -4.11350679]
[-6.09505379 -4.06429669]
[-6.21955619 -4.05369687]
[-6.25968732 -4.06193935]
[-6.21423906 -4.08889586]
[-6.31349771 -4.09690861]
[-5.82146048 -4.0765967 ]
[-6.07052865 -4.06034071]
[-5.92660148 -4.05951621]
[-6.35844302 -4.09931515]
[-6.13732667 -4.06171165]
[-6.41851371 -4.07792895]
[-6.08806576 -4.07724738]
[-6.39803298 -4.10420781]
[-6.47969909 -4.09320536]
[-6.11959123 -4.08521091]
[-6.16741426 -4.05597148]
[-6.29949583 -4.09445871]
[-5.91430689 -4.07844434]
[-6.16992807 -4.07508358]
[-6.11341278 -4.05993238]
[-6.58870237 -4.10858313]
[-6.07899024 -4.07441306]
[-6.28073501 -4.08726442]
[-6.21493388 -4.07440773]
[-6.54360237 -4.09705412]
[-6.37478247 -4.06006787]
[-6.44335872 -4.10363028]
[-6.21293794 -4.0969499 ]
[-6.30230279 -4.07168916]
[-6.05388858 -4.05872358]
[-6.35188098 -4.13739029]
[-6.03327108 -4.06424152]
[-6.26429326 -4.0758162 ]
[-6.17311313 -4.11355322]
[-6.14752312 -4.07808548]
[-6.1894179 -4.0574507]
[-6.14742111 -4.08049548]
[-6.0212518  -4.06889029]
[-6.17128702 -4.06722646]
[-6.41141623 -4.08512444]
[-6.25533131 -4.0738597 ]
[-6.05203349 -4.07523725]
[-6.1859745  -4.06908242]
[-5.95312216 -4.04493391]
[-6.07989542 -4.09570326]
[-6.22065541 -4.05426369]
[-6.13989793 -4.07689394]
[-6.22886472 -4.0824569 ]
[-6.13062404 -4.08422328]
[-6.34213656 -4.07886452]
[-6.32109247 -4.06992765]
[-6.39028521 -4.10950178]
[-6.03472957 -4.09280546]
[-6.24259855 -4.09396242]
[-6.15679826 -4.05263025]
[-6.28128943 -4.08128436]
[-5.95948155 -4.06811392]
[-6.49070307 -4.09404281]
[-6.29455042 -4.10878311]
[-6.42144325 -4.11564286]
[-6.2889878  -4.07045471]
[-6.28924543 -4.04229007]
[-6.46861156 -4.10033281]
[-6.18576003 -4.08524295]
[-6.33813615 -4.0902956 ]
[-6.47711082 -4.12514475]
[-6.25524031 -4.08530477]
[-6.12621141 -4.08052989]
[-6.19839331 -4.09878034]
[-6.5915785  -4.12204515]
[-6.10738857 -4.07917512]
[-6.28015597 -4.12072206]
[-6.2863193  -4.07744405]
[-6.13117837 -4.0963859 ]
[-6.09461002 -4.05512981]
[-6.3180292  -4.10301003]
[-6.19241097 -4.07286475]
[-6.17480111 -4.09353469]
[-6.53122248 -4.09520109]
[-6.237431   -4.06243224]
[-6.24222727 -4.0991363 ]
[-6.37892767 -4.09047446]
[-6.18239015 -4.0722315 ]
[-6.38231371 -4.10736385]
[-5.9867168  -4.07674233]
[-6.23761212 -4.11984321]
[-5.96860722 -4.06971549]
[-6.50303493 -4.0927789 ]
[-6.35301576 -4.07134202]
[-6.06478962 -4.09656339]
[-6.00575266 -4.05573005]
[-6.36398648 -4.10424117]
[-6.48957648 -4.09206618]
[-6.23445119 -4.08089598]
[-6.34384942 -4.12610383]
[-6.20203565 -4.09405539]
[-6.20657966 -4.07763677]
[-6.55834558 -4.10073867]
[-6.0437365 -4.0519147]
[-6.25354071 -4.0992102 ]
[-6.33251567 -4.07578343]
[-6.03734898 -4.07807248]
[-6.31488355 -4.07356255]
[-6.18337917 -4.0849643 ]
[-6.43965125 -4.08101455]
[-6.15290594 -4.09388341]
[-6.32891572 -4.09847907]
[-5.76491547 -4.05054971]
[-6.48179705 -4.09931297]
[-6.34847434 -4.1246931 ]
[-6.19993306 -4.07044417]
[-6.28389714 -4.07854098]
[-6.11518609 -4.08800914]
[-6.29088051 -4.0999591 ]
[-5.95604665 -4.07306492]
[-6.05053623 -4.12770208]
[-6.64644295 -4.10057237]
[-6.3358117  -4.08541545]
[-6.28809923 -4.09367227]
[-6.24819898 -4.10669875]
[-6.4624108  -4.09255156]
[-6.19475294 -4.07353047]
[-6.42606129 -4.10814312]
[-6.45013286 -4.08225229]
[-6.28085334 -4.07661871]
[-6.25992499 -4.10607025]
[-6.1269978 -4.083742 ]
[-6.34807215 -4.09388345]
[-6.49976367 -4.12044284]
[-6.31917233 -4.10568994]
[-6.29025936 -4.07104948]
[-6.28661828 -4.07391842]
[-6.00066364 -4.08301502]
[-6.53207358 -4.1178777 ]
[-6.09156396 -4.10809917]
[-6.14844873 -4.09437687]
[-6.48009455 -4.12715771]
[-6.24327103 -4.11859573]
[-6.17240392 -4.04525465]
[-6.03078218 -4.09193218]
[-6.32169379 -4.09210804]
[-6.62509376 -4.08578422]
[-6.14979972 -4.12985135]
[-6.04066501 -4.07286129]
[-6.30822342 -4.08799613]
[-6.32035446 -4.07998033]
[-6.04445423 -4.08262501]
[-5.90308523 -4.06203174]
[-6.53686538 -4.09131101]
[-6.24270281 -4.07869265]
[-6.34175504 -4.10035915]
[-6.0070828  -4.05651473]
[-6.20518242 -4.07880589]
[-6.33156346 -4.07077963]
[-6.14279877 -4.08246936]
[-6.2359052  -4.08567898]
[-6.30446756 -4.09146636]
[-6.17274603 -4.05778324]
[-6.09315545 -4.08640777]
[-6.28447412 -4.09246592]
[-6.342919   -4.09565777]
[-6.21317262 -4.06528919]
[-6.23482797 -4.096952  ]
[-6.35843116 -4.07133486]
[-6.16133254 -4.09710824]
[-6.18970145 -4.05020296]
[-5.90400739 -4.08263597]
[-6.19261616 -4.09106009]
[-6.17539552 -4.08516919]
[-6.39502252 -4.08857436]
[-6.27572412 -4.10116545]
[-6.2144245  -4.07520539]
[-6.17056483 -4.05393725]
[-6.26125332 -4.09561893]
[-6.14598497 -4.06588545]
[-6.29838857 -4.07826573]
[-6.31764046 -4.07305354]
[-6.31667467 -4.07104737]
[-6.19765004 -4.09068756]
[-6.37296119 -4.09101978]
[-6.35248563 -4.10678099]
[-5.97063509 -4.05673852]
[-6.25150701 -4.07619961]
[-6.39514501 -4.07383299]
[-6.17150447 -4.06371729]
[-6.28732734 -4.1020397 ]
[-6.1915543  -4.11781392]
[-6.42048324 -4.11364595]
[-6.38693199 -4.11824195]
[-6.14510931 -4.06710085]
[-6.30927141 -4.05251787]
[-6.59098686 -4.10073486]
[-6.44941522 -4.10047149]
[-6.37657039 -4.06965566]
[-6.40614849 -4.1141965 ]
[-6.27608991 -4.07501069]
[-6.13084067 -4.06004973]
[-6.14884679 -4.05512374]
[-6.414734   -4.10667133]
[-6.42130711 -4.11137981]
[-6.4055149  -4.11296696]
[-6.51650763 -4.11742274]
[-6.01905068 -4.09139047]
[-6.45707492 -4.12869541]
[-6.00933869 -4.08234295]
[-6.21947711 -4.05344056]
[-6.20209117 -4.0875099 ]
[-6.01682063 -4.06407661]
[-6.55029133 -4.11535387]
[-6.16138985 -4.05465904]
[-6.19429719 -4.10437555]
[-6.41071344 -4.10340917]
[-6.00943819 -4.04877104]
[-6.29164042 -4.11454789]
[-6.40140134 -4.10383092]
[-6.13056715 -4.06802893]
[-6.01631795 -4.09081482]
[-6.36095563 -4.09666645]
[-6.30594301 -4.07229869]
[-6.3358577  -4.05826464]
[-6.39282597 -4.08900039]
[-5.96253612 -4.06990369]
[-6.20974456 -4.0885904 ]
[-6.31012191 -4.09996314]
[-5.96393624 -4.04631943]
[-6.28082807 -4.10839538]
[-6.57063914 -4.07389994]
[-6.37769845 -4.0849349 ]
[-6.24482455 -4.08162805]
[-6.38107448 -4.08488182]
[-5.98877562 -4.0541122 ]
[-6.19473779 -4.07145641]
[-5.78040563 -4.05799014]
[-6.21687622 -4.07641035]
[-6.25432006 -4.10298742]
[-6.22922915 -4.05427321]
[-6.28312086 -4.06381651]
[-6.3295002  -4.09337929]
[-6.12129402 -4.07618448]
[-6.4375182 -4.1104479]
[-6.06069589 -4.06013314]
[-6.34735411 -4.11492038]
[-6.49999148 -4.10786545]
[-6.14888543 -4.05645768]
[-6.28430004 -4.0734972 ]
[-6.36139184 -4.09235335]
[-6.13096542 -4.08790508]
[-6.47052374 -4.11175691]
[-5.84345394 -4.06893871]
[-6.1324431  -4.09908457]
[-6.09258402 -4.04835359]
[-6.38787717 -4.10994124]
[-6.10168982 -4.08587114]
[-6.4278978 -4.12284  ]
[-6.22280427 -4.08618008]
[-6.07778714 -4.08140046]
[-6.22277709 -4.04321061]
[-6.00456956 -4.07209277]
[-6.2023867  -4.06897525]
[-6.16082594 -4.09930691]
[-6.15369633 -4.06853252]
[-5.94797077 -4.07329244]
[-6.10733524 -4.08401613]
[-6.35783435 -4.10682746]
[-6.33883057 -4.09290283]
[-5.94462109 -4.08774858]
[-6.01379581 -4.07222332]
[-6.38605777 -4.12963233]
[-6.45419968 -4.0734099 ]
[-6.07913349 -4.08087615]
[-6.17024759 -4.07233254]
[-6.0340898  -4.09431855]
